institution,year,urm_avg_share_in_stem
CCC,2006,1.7333333333333334
CCC,2010,2.3000000000000003
CCC,2015,3.0
CCC,2017,3.266666666666667
CSU,2006,5.566666666666666
CSU,2010,6.266666666666667
CSU,2015,7.1000000000000005
CSU,2017,7.566666666666666
UC,2006,11.866666666666665
UC,2010,14.1
UC,2015,16.133333333333333
UC,2017,17.73333333333333
